ID,Language,Source Text,Translated Text
,ar,Cannot convert to Group because Account Type is selected.,لا يمكن التحويل إلى مجموعة لأنه تم تحديد نوع الحساب.
,ar,Cannot create Salary Slip for Employee joining after Payroll Period,لا يمكن إنشاء قسيمة راتب للموظف المنضم بعد فترة الرواتب
,ar,Cannot create Salary Slip for Employee who has left before Payroll Period,لا يمكن إنشاء قسيمة راتب للموظف الذي غادر قبل فترة الرواتب
,ar,Cannot edit Standard Dashboards,لا يمكن تحرير لوحات المعلومات القياسية
,ar,Cannot edit Standard charts,لا يمكن تحرير المخططات القياسية
,ar,Cannot enable {0} for a non-submittable doctype,لا يمكن تمكين {0} لنوع مستند غير قابل للإرسال
,ar,Cannot find e-invoicing credentials for selected Company GSTIN. Please check E-Invoice Settings,لا يمكن العثور على بيانات اعتماد الفواتير الإلكترونية لـ الرقم الضريبي الشركة المحددة. يرجى التحقق من إعدادات الفاتورة الإلكترونية
,ar,Cannot get file contents of a Folder,لا يمكن الحصول على محتويات ملف لمجلد
,ar,Cannot mark Inpatient Record as Discharged since there are unbilled services.,لا يمكن وضع علامة على سجل المرضى الداخليين على أنه تم خروجه نظرًا لوجود خدمات غير مسددة.
,ar,Cannot mark attendance for an Inactive employee {0},لا يمكن وضع علامة على حضور موظف غير نشط {0}
,ar,Cannot receive from customer against negative outstanding,لا يمكن الاستلام من العميل مقابل المبالغ المعلقة السلبية
,ar,Cannot retrieve Company GSTIN. Please select company address with valid GSTIN.,لا يمكن استرداد رقم الرقم الضريبي الخاص بالشركة. يُرجى تحديد عنوان الشركة باستخدام رقم الرقم الضريبي صالح.
,ar,Cannot retrieve link token for update. Check Error Log for more information,لا يمكن استرداد رمز الارتباط للتحديث. تحقق من سجل الأخطاء لمزيد من المعلومات
,ar,Cannot retrieve link token. Check Error Log for more information,لا يمكن استرداد الرمز المميز للرابط. تحقق من سجل الأخطاء لمزيد من المعلومات
,ar,Cannot share {0} with submit permission as the doctype {1} is not submittable,لا يمكن مشاركة {0} مع إذن الإرسال لأن نموذج المستند {1} غير قابل للإرسال
,ar,Capacity (Stock UOM),السعة (وحدة قياس المخزون )
,ar,Capacity in Stock UOM,القدرة في وحدة قياس المخزون
,ar,Capacity must be greater than 0,يجب أن تكون السعة أكبر من 0
,ar,Capitalize Repair Cost,استفد من تكلفة الإصلاح
,ar,Card Break,كسر البطاقة
,ar,Carrier,الناقل
,ar,Carrier Service,خدمة الناقل
,ar,Category Details,تفاصيل الفئة
,ar,Cause of Grievance,سبب التظلم
,ar,Certificate Recipient,مستلم الشهادة
,ar,Change DATEV Settings,تغيير إعدادات DATEV
,ar,Changed customer name to '{}' as '{}' already exists.,"تم تغيير اسم العميل إلى ""{}"" حيث إن ""{}"" موجود بالفعل."
,ar,Charge of type 'Actual' in row {0} cannot be included in Item Rate or Paid Amount,"لا يمكن تضمين الرسوم من النوع ""الفعلي"" في الصف {0} في سعر الصنف أو المبلغ المدفوع"
,ar,Check this to mark the student as present in case the student is not attending the institute to participate or represent the institute in any event.||||||,حدد هذا لتمييز الطالب على أنه موجود في حالة عدم حضور الطالب للمعهد للمشاركة أو تمثيل المعهد في أي حدث. ||||||
,ar,Checking this will round off the tax amount to the nearest integer,سيؤدي التحقق من ذلك إلى تقريب مبلغ الضريبة إلى أقرب عدد صحيح
,ar,Choose Kanban Board,اختر شريحة كانبان
,ar,Choose a color,اختيار اللون
,ar,Clear All,امسح الكل
,ar,Clear Values,مسح القيم
,ar,Cleared,مسح
,ar,Click on Add to Holidays. This will populate the holidays table with all the dates that fall on the selected weekly off. Repeat the process for populating the dates for all your weekly holidays,انقر فوق إضافة إلى الإجازات. سيؤدي هذا إلى ملء جدول الإجازات بجميع التواريخ التي تقع في الإجازة الأسبوعية المحددة. كرر العملية لملء التواريخ لجميع عطلاتك الأسبوعية
,ar,Client Id,رقم العميل
,ar,Client Script for {0} {1} already exists,البرنامج النصي للعميل لـ {0} {1} موجود بالفعل
,ar,Closed Work Order can not be stopped or Re-opened,لا يمكن إيقاف أمر العمل المغلق أو إعادة فتحه
,ar,Closure Date,تاريخ الإغلاق
,ar,Code Challenge,تحدي الكود
,ar,Code challenge method,طريقة تحدي التعليمات البرمجية
,ar,Collection Details:,تفاصيل المجموعة:
,ar,Column Width,عرض العمود
,ar,Column width cannot be zero.,لا يمكن أن يكون عرض العمود صفرًا.
,ar,Communication Channel,قناة الاتصال
,ar,Company Address Display,عرض عنوان الشركة
,ar,Company Address is mandatory to fetch company GSTIN details. Please set Company Address and try again.,عنوان الشركة إلزامي لجلب تفاصيل رقم الشركة الضريبى. يرجى تعيين عنوان الشركة والمحاولة مرة أخرى.
,ar,Company Billing Address,عنوان الفواتير للشركة
,ar,Company Details,تفاصيل الشركة
,ar,Company Shipping Address,عنوان شحن الشركة
,ar,Company Tax ID,رقم ضريبة الشركة
,ar,Company for which this tax template will be applicable,الشركة التي سينطبق عليها نموذج الضريبة هذا
,ar,Company is mandatory was generating invoice. Please set default company in Global Defaults,الشركة إلزامية تم إصدار الفاتورة. يرجى تعيين الشركة الافتراضية في Global Defaults
,ar,Company which internal customer represents,الشركة التي يمثلها العميل الداخلي
,ar,Company which internal customer represents.,الشركة التي يمثلها العميل الداخلي.
,ar,Company which internal supplier represents,الشركة التي يمثلها المورد الداخلي
,ar,Company {} does not exist yet. Taxes setup aborted.,الشركة {} غير موجودة بعد. تم إحباط إعداد الضرائب.
,ar,Complete Job,أكمل الوظيفة
,ar,Completed On,اكتمل في
,ar,Completed On cannot be greater than Today,"لا يمكن أن يكون ""يوم الأكمال"" أكبر من ""اليوم"""
,ar,Completed Tasks,المهام المكتملة
,ar,Completed Time,وقت الانتهاء
,ar,Condition and Formula Help,مساعدة الشرط والصيغة
,ar,Configure Columns,تكوين الأعمدة
,ar,Configure the action to stop the transaction or just warn if the same rate is not maintained.,قم بتكوين الإجراء لإيقاف المعاملة أو مجرد التحذير إذا لم يتم الحفاظ على نفس السعر.
,ar,Connect to {},الاتصال بـ {}
,ar,Connected App,تطبيق متصل
,ar,Connection Lost,انقطع الاتصال
,ar,Connections,إتصالات
,ar,Consider Entire Party Ledger Amount,ضع في اعتبارك مبلغ دفتر الأستاذ للطرف بالكامل
,ar,Considered In Paid Amount,تعتبر في المبلغ المدفوع
,ar,Consolidate Items,توحيد الأصناف
,ar,Consumed Items Qty Check,فحص كمية الأصناف المستهلكة
,ar,Consumed Quantity,الكمية المستهلكة
,ar,Consumers,المستهلكون
,ar,Continue Selection,متابعة التحديد
,ar,Continue Shopping,مواصلة التسوق
,ar,Contract Template Help,تعليمات نموذج العقد
,ar,Control Historical Stock Transactions,مراقبة معاملات المخزون التاريخية
,ar,Convert Item Description to Clean HTML in Transactions,تحويل وصف الصنف إلى HTML نظيف في المعاملات
,ar,Copy to Clipboard,نسخ إلى الحافظة
,ar,Corrective Job Card,بطاقة العمل التصحيحية
,ar,Corrective Operation,العملية التصحيحية
,ar,Corrective Operation Cost,تكلفة العملية التصحيحية
,ar,Cost Center For Item with Item Code {0} has been Changed to {1},تم تغيير مركز التكلفة للصنف مع رمز الصنف {0} إلى {1}
,ar,Cost Per Unit,التكلفة لكل وحدة
,ar,Cost of Poor Quality Report,تقرير تكلفة جودة رديئة
,ar,Could not create Service Units,تعذر إنشاء وحدات الخدمة
,ar,Couldn't guess builder,لا يمكن تخمين باني
,ar,Country Code,الرقم الدولي
,ar,Coupons,كوبونات
,ar,Course Start Date cannot be greater than Course End Date.,لا يمكن أن يكون تاريخ بدء الدورة التدريبية أكبر من تاريخ انتهاء الدورة.
,ar,"Create <a href=""{}"">KSA VAT Setting</a> for this company","أنشئ <a href=""{}""> إعدادات ضريبة القيمة المضافة في المملكة العربية السعودية </a> لهذه الشركة"
,ar,Create Additional Salary,إنشاء راتب إضافي
,ar,Create Depreciation Entry,إنشاء قيد الإهلاك
,ar,Create Interview,إنشاء مقابلة
,ar,Create Job Applicant,إنشاء متقدم للوظيفة
,ar,Create Job Card based on Batch Size,قم بإنشاء بطاقة عمل بناءً على حجم الدفعة
,ar,Create Ledger Entries for Change Amount,إنشاء قيود دفتر الأستاذ لتغيير المبلغ
,ar,Create New Customer,إنشاء عميل جديد
,ar,Create New Kanban Board,إنشاء شريحة كانبان جديدة
,ar,Create a new ...,إنشاء ...
,ar,Creating Membership Invoice,إنشاء فاتورة العضوية
,ar,Creating Purchase Receipt ...,إنشاء إيصال الشراء ...
,ar,Creating Stock Entry,إنشاء قيد المخزون
,ar,Creating {0} Service Units,إنشاء {0} وحدات الخدمة
,ar,Credit/Debit Notes (Registered) - 9B,سندات الائتمان / الخصم (مسجلة) - 9 ب
,ar,Credit/Debit Notes (Unregistered) - 9B,سندات الائتمان / الخصم (غير مسجلة) - 9 ب
,ar,Currency of selected Income Tax Slab should be {0} instead of {1},يجب أن تكون عملة شريحة ضريبة الدخل المحددة {0} بدلاً من {1}
,ar,Current Employer,صاحب العمل الحالي
,ar,Current Index,الفهرس الحالي
,ar,Current Job Title,المسمي الوظيفي الحالي
,ar,Current Slab,الشريحة الحالية
,ar,Current Work Experience,خبرة العمل الحالية
,ar,Custom Document Types,أنواع المستندات المخصصة
,ar,Custom Document Types (Select Permission),أنواع المستندات المخصصة (حدد الصلاحية)
,ar,Custom Document Types Limit Exceeded,تم تجاوز حد أنواع المستندات المخصصة
,ar,"Custom LDAP Directoy Selected, please ensure 'LDAP Group Member attribute' and 'LDAP Group Mappings' are entered","تم تحديد دليل LDAP المخصص ، يرجى التأكد من قيد ""سمة عضو مجموعة LDAP"" و ""تعيينات مجموعة LDAP"""
,ar,Custom Script List,قائمة البرامج النصية المخصصة
,ar,Customer,عميل
,ar,Customer Address is mandatory to fetch customer GSTIN details. Please set Company Address and try again.,عنوان العميل إلزامي لجلب تفاصيل رقم العميل الضريبى. يرجى تعيين عنوان الشركة والمحاولة مرة أخرى.
,ar,Customer Defaults,افتراضات العميل
,ar,Customer Group Item,صنف مجموعة العملاء
,ar,Customer Item,صنف العميل
,ar,Customer Reviews,آراء العملاء
,ar,Customer {0} has been created succesfully.,تم إنشاء العميل {0} بنجاح.
,ar,Customer:,عميل:
,ar,Customizations Discarded,تم تجاهل التخصيصات
,ar,Customize Child Table,تخصيص الجدول الفرعي
,ar,Customize Dashboard,تخصيص لوحة المعلومات
,ar,DAP (Delivered At Place),DAP (سلمت في المكان)
,ar,DATEV Settings for your Company are missing. Would you like to create them now?,إعدادات DATEV لشركتك مفقودة. هل ترغب في إنشائها الآن؟
,ar,DDP (Delivered Duty Paid),DDP (رسوم التسليم مدفوعة)
,ar,DELETE,حذف
,ar,DPU (Delivered At Place Unloaded),DPU (يتم تسليمها في مكان التفريغ)
,ar,Dark,داكن
,ar,Data Clipped,قص البيانات
,ar,Date,تاريخ
,ar,Date Fieldname,التاريخ اسم المجال
,ar,Date format could not be determined from the values in this column. Defaulting to yyyy-mm-dd.,تعذر تحديد تنسيق التاريخ من القيم الموجودة في هذا العمود. التقصير إلى yyyy-mm-dd.
,ar,Date must be between {0} and {1},يجب أن يكون التاريخ بين {0} و {1}
,ar,Date of Donation,تاريخ التبرع
,ar,Date:,تاريخ:
,ar,Dates {} and {} are not in the same fiscal year.,التاريخان {} و {} ليسا في نفس السنة المالية.
,ar,Day(s),أيام)
,ar,Deadlock Occurred,حدث غلق تام
,ar,"Dear {0},",عزيزي {0} ،
,ar,Deduction from Salary,خصم من الراتب
,ar,Default Discount Account,حساب الخصم الافتراضي
,ar,Default Donor Type,نوع المتبرع الافتراضي
,ar,Default Email Template,نموذج البريد الإلكتروني الافتراضي
,ar,Default In-Transit Warehouse,المخزن الافتراضي أثناء النقل
,ar,Default Payment Discount Account,حساب خصم الدفع الافتراضي
,ar,Default Unit of Measure for Item {0} cannot be changed directly because you have already made some transaction(s) with another UOM. You need to either cancel the linked documents or create a new Item.,لا يمكن تغيير وحدة القياس الافتراضية للصنف {0} مباشرة لأنك أجريت بالفعل بعض المعاملات مع وحدة قياس أخرى. تحتاج إما إلى إلغاء المستندات المرتبطة أو إنشاء صنف جديد.
,ar,"Default tax templates for sales, purchase and items are created.",يتم إنشاء نماذج الضرائب الافتراضية للمبيعات والشراء والأصناف.
,ar,Defaults Updated,تم تحديث الافتراضيات
,ar,Deferred accounting failed for some invoices:,فشل المحاسبة المؤجلة لبعض الفواتير:
,ar,Delayed Tasks Summary,ملخص المهام المؤجلة
,ar,Delete Accounting and Stock Ledger Entries on deletion of Transaction,حذف قيود المحاسبة ودفتر الأستاذ عند حذف المعاملة
,ar,Delete Transactions,حذف المعاملات
,ar,Deletion Steps,خطوات الحذف
,ar,Delivery to,تسليم الى
,ar,Deny,رفض
,ar,Department: {0},الإدارة : {0}
,ar,Dependant SLE Voucher Detail No,تفاصيل قسيمة SLE التابعة رقم
,ar,Dependent Task {0} is not a Template Task,المهمة التابعة {0} ليست مهمة نموذج
,ar,Deposit,الوديعة
,ar,Depreciation Posting Date should not be equal to Available for Use Date.,يجب ألا يكون تاريخ ترحيل الإهلاك مساويًا لتاريخ المتاح للاستخدام.
,ar,Description of Content,وصف المحتوى
,ar,Description to inform the user about any action that is going to be performed,وصف لإبلاغ الموظف بأي إجراء سيتم تنفيذه
,ar,Designation: {0},التعيين: {0}
,ar,Desk Theme,سمة المكتب
,ar,Different 'Source Warehouse' and 'Target Warehouse' can be set for each row.,"يمكن تعيين ""مخزن المصدر"" و ""المخزن المستهدف"" لكل صف."
,ar,Dimension Filter Help,مساعدة فلترة البعد
,ar,Dimension-wise Accounts Balance Report,تقرير رصيد الحسابات حسب الأبعاد
,ar,Directory Server,خادم الدليل
,ar,Disable Feedback,تعطيل الملاحظات
,ar,Disable Serial No And Batch Selector,تعطيل الرقم التسلسلي ومحدد الدُفعات
,ar,Disabled Warehouse {0} cannot be used for this transaction.,لا يمكن استخدام مخزن معطل {0} لهذه المعاملة.
,ar,Disbursement,الصرف
,ar,Disbursement References,مراجع الصرف
,ar,Disbursement against loan:,الصرف مقابل قرض:
,ar,Discharge Datetime,تاريخ الخروج
,ar,Discharge Ordered Datetime,تاريخ ووقت طلب الخروج 
,ar,Discharge date cannot be less than Admission date,لا يمكن أن يكون تاريخ الخروج أقل من تاريخ القبول
,ar,Discount Account,حساب الخصم
,ar,Discount Date,تاريخ الخصم
,ar,Discount Settings,إعدادات الخصم
,ar,Discount Validity,صلاحية الخصم
,ar,Discount Validity Based On,تعتمد صلاحية الخصم على
,ar,Discount of {} applied as per Payment Term,يتم تطبيق خصم بقيمة {} حسب شروط الدفع
,ar,Discounted Amount,المبلغ المخصوم
,ar,"Discounts to be applied in sequential ranges like buy 1 get 1, buy 2 get 2, buy 3 get 3 and so on",سيتم تطبيق الخصومات في نطاقات متسلسلة مثل اشترِ 1 واحصل على 1 ، واشتر 2 واحصل على 2 ، واشتري 3 واحصل على 3 ، وهكذا دواليك
,ar,Dispatch Address,عنوان الإرسال
,ar,Dispatch Address Name,اسم عنوان الإرسال
,ar,Distinct Item and Warehouse,صنف ومخزن مميزان
,ar,Distribute Manually,وزع يدويا
,ar,Do Not Bill Patient Encounters for Inpatients,لا تقم بإجراء الفواتير على لقاءات المرضى للمرضى الداخليين
,ar,Do not have permission to access bucket {0}.,ليس لديك صلاحية للوصول إلى الحاوية {0}.
,ar,Do you really want to close this loan,هل تريد حقًا إغلاق هذا القرض
,ar,DocType Layout,تخطيط نوع DocType
,ar,DocType Layout Field,حقل تخطيط نوع DocType
,ar,DocType must be a string,يجب أن يكون نوع DocType سلسلة
,ar,DocTypes should not be added manually to the 'Excluded DocTypes' table. You are only allowed to remove entries from it.,"لا يجب إضافة أنواع DocTypes يدويًا إلى جدول ""أنواع المستندات المستبعدة"". يسمح لك فقط لإزالة القيود منه."
,ar,Document ID Too Long,رقم المستند طويل جدًا
,ar,Document Linking,وثيقة الارتباط
,ar,Document Name must be a string,يجب أن يكون اسم المستند عبارة عن سلسلة
,ar,Document Naming,تسمية الوثيقة
,ar,Document Type already used as a dimension,نوع المستند مستخدم بالفعل كبعد
,ar,Document Types (Select Permissions Only),أنواع المستندات (حدد الصلاحيات فقط)
,ar,Document Types and Permissions,أنواع المستندات والصلاحيات
,ar,"Document name should only contain alphanumeric values, dash(-) and slash(/) characters as per GST rules. Please change the naming series.",يجب ألا يحتوي اسم المستند إلا على قيم أبجدية رقمية وأحرف شرطة (-) وشرطة مائلة (/) وفقًا لقواعد ضريبة الأصناف والخدمات. الرجاء تغيير سلسلة التسمية.
,ar,Document not Relinked,لم يتم إعادة ربط المستند
,ar,Documentation,توثيق
,ar,Domain (optional),المجال (اختياري)
,ar,Don't have an account?,ليس لديك حساب؟
,ar,Donation,تبرع
,ar,Donation Details,تفاصيل التبرع
,ar,Donation Payment To,دفع التبرع ل
,ar,Donation Settings,إعدادات التبرع
,ar,Donation Webhook Secret,التبرع بالويب هوك السري
,ar,Donations,التبرعات
,ar,Dont Recompute tax,لا تعيد حساب الضرائب
,ar,Drag and drop files here or upload from,قم بسحب وإسقاط الملفات هنا أو التحميل من
,ar,Drugs,المخدرات
,ar,Duplicate Certificate,شهادة مكررة
,ar,Duration (ms),المدة (مللي ثانية)
,ar,E Invoice Creation Failed,فشل إنشاء الفاتورة الإلكترونية
,ar,E Invoice Request Failed,فشل طلب الفاتورة الإلكترونية
,ar,E Invoice Request Log,سجل طلب الفاتورة الإلكترونية
,ar,E Invoice Settings,إعدادات الفاتورة الإلكترونية
,ar,E Invoice User,مستخدم الفاتورة الإلكترونية
,ar,E Invoicing,الفواتير الإلكترونية
,ar,E-Invoice Summary,ملخص الفاتورة الإلكترونية
,ar,E-Invoice cannot be cancelled after 24 hours of IRN generation.,لا يمكن إلغاء الفاتورة الإلكترونية بعد 24 ساعة من إنشاء IRN.
,ar,E-Invoices will be cancelled in a background process.,سيتم إلغاء الفواتير الإلكترونية في عملية الخلفية.
,ar,E-Invoices will be generated in a background process.,سيتم إنشاء الفواتير الإلكترونية في عملية الخلفية.
,ar,E-Invoicing,الفواتير الإلكترونية
,ar,E-Invoicing is disabled. Please enable it from {} to generate e-invoices.,تم تعطيل الفواتير الإلكترونية. يرجى تمكينه من {} لإنشاء الفواتير الإلكترونية.
,ar,E-Way Bill Cancelled - {},تم إلغاء فاتورة E-Way - {}
,ar,E-Way Bill Generated,تم إنشاء مشروع قانون E-Way
,ar,E-Way Bill cannot be generated for Credit Notes & Debit Notes. Please clear fields in the Transporter Section of the invoice.,لا يمكن إنشاء فاتورة E-Way لإشعارات الائتمان وسندات الخصم. يرجى مسح الحقول في قسم الناقل في الفاتورة.
,ar,EXW (Ex Works),EXW (الأعمال السابقة)
,ar,Each slot indicates the capacity currently available for booking,تشير كل فتحة إلى السعة المتاحة حاليًا للحجز
,ar,Earned Leaves are leaves earned by an Employee after working with the company for a certain amount of time. Enabling this will allocate leaves on pro-rata basis by automatically updating Leave Allocation for leaves of this type at intervals set by 'Earned Leave Frequency.,"الإجازات المكتسبة هي إجازات حصل عليها الموظف بعد العمل مع الشركة لفترة معينة من الوقت. سيؤدي تمكين هذا إلى تخصيص الإجازات على أساس تناسبي عن طريق التحديث التلقائي لتخصيص الإجازات للأوراق من هذا النوع على فترات زمنية محددة بواسطة ""تكرار الإجازات المكتسبة""."
,ar,Earning Salary Component is required for Employee Referral Bonus.,مطلوب مكون كسب الراتب لمكافأة إحالة الموظف.
,ar,Earnings & Deductions,الأرباح والخصومات
,ar,Edit Capacity,تحرير السعة
,ar,Edit Filters,تحرير الفلاتر
,ar,Editing {0} is not allowed as per POS Profile settings,تعديل {0} غير مسموح به وفقًا لإعدادات ملف تعريف نقطة البيع
,ar,Effective From,ساري المفعول من
,ar,Effective To,فعالة ل
,ar,Either 'Selling' or 'Buying' must be selected,"يجب تحديد ""بيع"" أو ""شراء"""
,ar,Either key or IP flag is required.,مطلوب إما مفتاح أو علامة IP.
,ar,Email Digest Recipient,مستلم ملخص البريد الإلكتروني
,ar,Email Digest: {0},ملخص البريد الإلكتروني: {0}
,ar,Email address of member {0} is missing,عنوان البريد الإلكتروني للعضو {0} مفقود
,ar,Email or Phone/Mobile of the Contact are mandatory to continue.,البريد الإلكتروني أو الهاتف / الهاتف المحمول لجهة الاتصال إلزامية للمتابعة.
,ar,Email verification failed.,فشل التحقق من البريد الإلكتروني.
,ar,Employee Grievance,شكوى الموظف
,ar,Employee Hours Utilization Based On Timesheet,استخدام ساعات الموظف على أساس الجدول الزمني
,ar,Employee Naming By,تسمية الموظف بواسطة
,ar,Employee Promotion cannot be submitted before Promotion Date,لا يمكن تقديم ترقية الموظف قبل تاريخ الترقية
,ar,Employee Referral {0} is not applicable for referral bonus.,لا تنطبق إحالة الموظف {0} على مكافأة الإحالة.
,ar,Employee Responsible,الموظف المسؤول
,ar,Employee Self Service,الخدمة الذاتية للموظف
,ar,Employee Transfer cannot be submitted before Transfer Date,لا يمكن تقديم نقل الموظف قبل تاريخ النقل
,ar,"Employee can be named by Employee ID if you assign one, or via Naming Series. Select your preference here.",يمكن تسمية الموظف من خلال معرّف الموظف إذا قمت بتعيين واحد ، أو عبر سلسلة التسمية. حدد ما تفضله هنا.
,ar,Employee name,اسم الموظف
,ar,Employee records are created using the selected option,يتم إنشاء سجلات الموظفين باستخدام الخيار المحدد
,ar,Employee {0} has already applied for {1} between {2} and {3} : {4},تقدم الموظف {0} بالفعل بطلب للحصول على {1} بين {2} و {3}: {4}
,ar,Employee {0} not found in Training Event Participants.,"الموظف {0} غير موجود في ""تدريب المشاركين في الحدث""."
,ar,Employee: {0} have to complete minimum {1} years for gratuity,الموظف: {0} يجب أن يكمل {1} سنوات كحد أدنى كمكافأة
,ar,Employees will miss holiday reminders from {} until {}. <br> Do you want to proceed with this change?,لن يفوت الموظفون تذكيرات العطلات من {} حتى {}. <br> هل تريد متابعة هذا التغيير؟
,ar,Enable Common Party Accounting,قم بتمكين للحسابات المشتركة للطرف (عميل/ مورد)
,ar,Enable Discount Accounting,تفعيل محاسبة الخصم
,ar,Enabling this option will round off individual GST components in all the Invoices,سيؤدي تمكين هذا الخيار إلى تقريب مكونات ضريبة الأصناف والخدمات الفردية في جميع الفواتير
,ar,End date: {0},تاريخ الانتهاء: {0}
,ar,Ensure the user and group search paths are correct.,تأكد من صحة مسارات البحث عن الموظف والمجموعة.
,ar,"Enter First and Last name of Employee, based on Which Full Name will be updated. IN transactions, it will be Full Name which will be fetched.",أدخل الاسم الأول والأخير للموظف ، بناءً على الاسم الكامل الذي سيتم تحديثه. في المعاملات ، سيكون الاسم الكامل الذي سيتم جلبه.
,ar,Enter Visit Details,أدخل تفاصيل الزيارة
,ar,Enter a name for this Holiday List.,أدخل اسمًا لقائمة العطلات هذه.
,ar,Enter the Standard Working Hours for a normal work day. These hours will be used in calculations of reports such as Employee Hours Utilization and Project Profitability analysis.,أدخل ساعات العمل القياسية ليوم العمل العادي. سيتم استخدام هذه الساعات في حسابات التقارير مثل استخدام ساعات الموظفين وتحليل ربحية المشروع.
,ar,Enter the number of leaves you want to allocate for the period.,أدخل عدد الإجازات التي تريد تخصيصها للفترة.
,ar,Error creating donation entry for {0},خطأ في إنشاء قيد تبرع لـ {0}
,ar,Error during caller information update,خطأ أثناء تحديث معلومات المتصل
,ar,Error in Client Script,خطأ في برنامج العميل
,ar,Error in Client Script.,خطأ في برنامج العميل.
,ar,Error in input data. Please check for any special characters near following input: <br> {},خطأ في قيد البيانات. الرجاء التحقق من وجود أي أحرف خاصة بالقرب من القيد التالي: <br> {}
,ar,Error updating halted status for member {0},خطأ في تحديث حالة التوقف للعضو {0}
,ar,Error while processing deferred accounting for {0},خطأ أثناء معالجة المحاسبة المؤجلة لـ {0}
,ar,Error while reposting item valuation,خطأ أثناء إعادة تقييم الصنف
,ar,Even invoices with apply tax withholding unchecked will be considered for checking cumulative threshold breach,سيتم اعتبار حتى الفواتير التي تحتوي على استقطاع ضريبي مطبق غير محدد للتحقق من خرق الحد التراكمي
,ar,Event Frequency,تردد الحدث
,ar,Event Update Log Consumer,المستهلك سجل تحديث الحدث
,ar,"Everyone, let’s congratulate {0} on their birthday.",دعونا جميعًا نهنئ {0} بعيد ميلادهم.
,ar,"Everyone, let’s congratulate {0} on their work anniversary!",دعونا جميعًا نهنئ {0} بمناسبة ذكرى عملهم!
,ar,Exact Copies,نسخ مطابقة
,ar,"Example: ABCD.#####|||If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.",مثال: ABCD. ##### ||| إذا تم تعيين السلسلة ولم يتم ذكر الرقم التسلسلي في المعاملات ، فسيتم إنشاء الرقم التسلسلي التلقائي بناءً على هذه السلسلة. إذا كنت تريد دائمًا الإشارة صراحةً إلى الأرقام التسلسلية لهذا الصنف . اترك هذا فارغا.
,ar,Excluded DocTypes,أنواع المستندات المستبعدة
,ar,Execution Order,أمر التنفيذ
,ar,Exempt Supplies,التوريدات المعفاة
,ar,Exotel,إكسوتيل
,ar,Expected Average Rating,متوسط ​​التقييم المتوقع
,ar,Expected Balance Qty,الكمية الرصيد المتوقع
,ar,Expected End Date should be less than or equal to parent task's Expected End Date {0}.,يجب أن يكون تاريخ الانتهاء المتوقع أقل من تاريخ الانتهاء المتوقع للمهمة الرئيسية {0} أو مساويًا له.
,ar,Expected Rating,التقييم المتوقع
,ar,Expected Skill Set,مجموعة المهارات المتوقعة
,ar,Expected Skillset,مجموعة المهارات المتوقعة
,ar,Expected Stock Value,قيمة المخزون المتوقعة
,ar,Experimental,تجريبي
,ar,Expired Leave,إجازة منتهية الصلاحية
,ar,Export Invoice - 6A,حفظ الفاتورة - 6 A
,ar,Exporting...,حفظ ...
,ar,Extra Parameters,معايير اضافية
,ar,FCA (Free Carrier),FCA (ناقل مجاني)
,ar,FG Qty from Transferred Raw Materials,كمية المنتج التام من المواد الخام المنقولة
,ar,FG Value,قيمة المنتج التام
,ar,FREE,مجانا
,ar,Failed to get method for command {0} with {1},فشل الحصول على أسلوب للأمر {0} باستخدام {1}
,ar,Failed to send the Interview Reschedule notification. Please configure your email account.,فشل في إرسال إعلام إعادة جدولة المقابلة. يرجى تكوين حساب البريد الإلكتروني الخاص بك.
,ar,Failure Description,فشل الوصف
,ar,Featured Items,الأصناف المعروضة
,ar,Feedback Reminder Notification Template,نموذج إشعار تذكير التعليقات
,ar,Feedback already submitted for the Interview {0}. Please cancel the previous Interview Feedback {1} to continue.,تم إرسال التعليقات بالفعل للمقابلة {0}. يرجى إلغاء ملاحظات المقابلة السابقة {1} للمتابعة.
,ar,Feedback cannot be recorded for an absent Employee.,لا يمكن تسجيل الملاحظات للموظف الغائب.
,ar,Feedback limit,حد التعليقات
,ar,Feedback limit per hour,حد التعليقات في الساعة
,ar,Feedback updated on {0}: {1},تم تحديث التعليقات في {0}: {1}
,ar,Feedback updated successfully!,تم تحديث التعليقات بنجاح!
,ar,Fetch Timesheet,إحضار الجدول الزمني
,ar,Fetching Schedule...,إحضار الجدول ...
,ar,Fetching Treatment Plans,إحضار خطط العلاج
,ar,Fetching exchange rates ...,إحضار أسعار الصرف ...
,ar,Field not permitted in query,الحقل غير مسموح به في الاستعلام
,ar,Fieldname '{0}' conflicting with a {1} of the name {2} in {3},"يتعارض اسم الحقل ""{0}"" مع {1} الاسم {2} في {3}"
,ar,Fieldtype cannot be changed from {0} to {1},لا يمكن تغيير نوع الحقل من {0} إلى {1}
,ar,Filter Fields Row #{0}: Fieldname <b>{1}</b> must be of type 'Link' or 'Table MultiSelect',"رقم صف حقول التصفية {0}: يجب أن يكون اسم الحقل <b> {1} </b> من النوع ""Link"" أو ""Table MultiSelect"""
,ar,Filtered By,تم التصفية بواسطة
,ar,Financial Year Begins On,تبدأ السنة المالية في
,ar,Find '{0}' in ...,"بحث عن ""{0}"" في ..."
